text,positive_score,negative_score,neutral_score
Great to see reinvestment and restoration to old or non existent buildings which were destroyed.,0.8187127,0.040311594,0.14097571
Spent hours walking around.,0.11333015,0.15246579,0.7342041
We visited the Imperial City with a tour guide who gave us an excellent overview of the rich history.,0.97089267,0.0017583503,0.027348993
"While a large complex, some parts are destroyed.",0.016184377,0.7457516,0.23806399
All together a nice and interesting experience but not quite as impressive as other places.,0.35668305,0.2938601,0.34945688
A must while in Hue..,0.7206618,0.011557912,0.2677803
We visited the Citadel with a guide.,0.11587355,0.0055457647,0.87858075
He knew so much and it made our visit more worthwhile!,0.9781121,0.002907121,0.018980844
An amazing place.,0.96269196,0.011873489,0.025434537
Too bad armies felt the need to hide and fight there in the 60‘s and 70‘s.,0.0067858007,0.87927336,0.113940895
Entrance fee goes towards restoration.,0.100931115,0.026022535,0.87304634
Probably the number one tourist attraction in Hue.,0.8810144,0.00364765,0.11533792
Had looked forward to seeing this World Heritage Site before my visit.,0.9439344,0.004072885,0.051992733
Was somewhat disappointed by it as I had very high expectations.,0.015372298,0.8501222,0.13450544
Many of the building were destroyed during the war and none of them are over 200 years old.,0.0073522804,0.86791927,0.124728456
"Still the Site is well worth visiting, and the home of the last kings has very beautiful grounds with numerous lakes and waterways.",0.97907203,0.0024472028,0.018480755
The walls and structures are impressive.,0.9568084,0.007636748,0.035554893
Historic site.,0.86785966,0.007079968,0.12506038
Huge place to venture and many photo opportunities.,0.9577189,0.004302979,0.0379781
"Had fun feeding the fish for a small token sum of 5,000 VND.",0.91230994,0.0042493814,0.08344068
"Despite viewing this spectacular Imperial Palace in the rain, we were captured by the beauty of the architecture, the workmanship and the splendour of the whole area which was very large.",0.97153383,0.0036932137,0.024772888
We spent three hours here and could have stayed much longer.,0.046157736,0.49195233,0.46188995
So much has happened here.,0.044996034,0.39581552,0.5591884
"Very large so be sure to have a guide or guidebook to learn more about concubines, emperors and other interesting stories.",0.68166965,0.0053128195,0.31301746
Surprisingly run down and also a rainy day- bleak.,0.008569251,0.8974364,0.09399446
"You visit big complex of buildings, protecting imperial houses, walls, rivers and gardens.",0.22827274,0.012188948,0.75953835
It is great to see architecture from few hundreds years ago.,0.95516187,0.0049573043,0.03988084
"It is pleasure for eye of person loving old stuff, history, old buildings and lot of walk.",0.9589006,0.0047879387,0.036311444
More challenging for kids as it could be boring specially for teenagers.,0.02709363,0.6288273,0.34407908
You can buy a lot of souvenirs and there are some exhibitions and visualised tv 📺 guides in some of buildings inside.,0.37212884,0.0060040024,0.6218672
The complex is the centre of Hue,0.16834609,0.11866308,0.7129908
"Seven of us travelling together visited the monuments of the former imperial City, now a UNESCO world heritage site.",0.42153227,0.003392293,0.57507545
We were assisted by a knowledgeable local guide who took us through various monuments and structures within the city.,0.5926241,0.003917219,0.40345865
"During the introduction, the guide explained that Hue was the capital of Vietnam, where the emperor reigned through the 19th century and until 1945, when Ho Chi Ming captured power to establish communist rule.",0.05026487,0.012744228,0.9369909
The bombings carried out later during the Vietnam War in 1967 caused substantial damage to the monuments within the city.,0.0061903107,0.8071986,0.18661113
"The first thing you note as you enter are the protective wall and the moat, 11 km long, running round the 520 hectare city.",0.04463715,0.013223618,0.9421392
The flag tower flying the Vietnam flag is conspicuous at the Ngo Mon Gate.,0.04870672,0.0296085,0.9216848
This huge structure had been the main gate to the citadel with three gates in the middle and two on each side.,0.08103334,0.010409651,0.908557
The middle gate (now closed) was reserved for the Emperor.,0.03464996,0.03215035,0.93319976
The two gates on either side of the “Emperor’s Gate” was used by his ministers and other VIPs.,0.030263364,0.024572883,0.9451637
The side entrances were for the soldiers and vehicles carrying goods.,0.03397162,0.046208862,0.9198194
The hall on top of the structure was the viewing platform for the Emperor in performing his duties such as inspecting military exercises.,0.06338804,0.0086395545,0.92797244
"When you enter the citadel through Ngo Mon Gate you come to the throne palace, after walking through the bridge built over a large pond.",0.0571366,0.007476207,0.93538725
The people who come to pay their respects to the Emperor gathered in the grounds outside the palace.,0.053528424,0.01625278,0.9302188
"Most important functions such as coronations, receiving VIP visitors were conducted at this nerve centre where the Emperor’s throne sits.",0.10599808,0.010649619,0.88335234
No photographs are permitted within this building.,0.018467199,0.40274048,0.5787923
We also visited the Hien Lam Pavilion and the To Mieu Temple which face each other across a courtyard.,0.18848722,0.004234736,0.80727804
The Hien Lam Pavilion with three stories is a memorial to the emperors.,0.12925713,0.012170362,0.8585726
The handrails at the entrance are beautifully engraved in the shape of a dragon.,0.85775226,0.00791233,0.13433535
In front of Hien Lam pavilion are nine urns set up in 1830 to remember the reign of nine emperors.,0.10977387,0.011696321,0.8785297
These urns are large and heavy and had been cast in bronze.,0.038317837,0.17633556,0.7853466
The To Mieu temple was built to honour the Emperors.,0.12526603,0.019873522,0.8548604
The reigning emperor had honoured his predecessors at this building by performing ceremonies on their death anniversaries.,0.40484595,0.0054939156,0.58966017
No photographs are permitted within the To Mieu temple.,0.015642446,0.2899987,0.6943588
The queen mother’s palace is called Dien Tho Palace and included an audience hall.,0.06381526,0.009602774,0.92658186
The building apparently had been damaged during the war in the nineties and had been renovated.,0.016904877,0.4138362,0.5692589
.,0.30231768,0.12050705,0.5771752
In another building you can see the preserved rickshaw and the palanquin used by the Queen mother.,0.048773874,0.01713157,0.93409455
The Royal Library was the Emperor’s reading room.,0.04398268,0.013495632,0.9425218
The royal opera house just outside is still functional.,0.5014705,0.008325797,0.49020368
We spent about three hours in the citadel complex walking around enjoying a journey through history imagining what it would have looked and felt like during the time of the Emperors.,0.42327392,0.005624058,0.571102
This explanation is only a little bit of what we saw and experienced!!,0.043039575,0.42111182,0.5358486
The few photographs attached will remind me the joy experienced during this visit.,0.97319037,0.0032658936,0.023543695
"Worth a visit, steeped in history , bring a camera and comfortable shoes .",0.96190447,0.0027886722,0.035306856
We visited on a overcast day and was worth it.,0.95347977,0.0027952723,0.043725
Hue isn’t big but it’s nice,0.6101089,0.051407736,0.33848333
One word (and apologies for the Americanism): Awesome.,0.92403805,0.023091119,0.052870862
"So much history, a vast labyrinth, and perfectly set.",0.832334,0.017230118,0.15043595
Would love to visit in 10years to see how the UNESCO restoration work is progressing.,0.9469329,0.0037708476,0.04929617
So beautiful already.,0.9815487,0.0057112635,0.012739992
Went here the first day we were in Hue.,0.095827855,0.013566892,0.8906052
"It’s pretty cool, lots of old architecture and also some relics from the American war.",0.9439366,0.0045759897,0.051487446
"We weren’t so lucky with the weather, I would expect it is better with a lot of sun.",0.13868064,0.39803827,0.46328107
"Go there when the weather is good, as most of it is outside.",0.7589139,0.008769253,0.23231691
Huge ancient citadel that saw of the fiercest fighting of the Vietnam War just after the Tet Offensive.,0.15157458,0.1566305,0.69179493
Bullet holes are all over the walls in various places.,0.026741296,0.45024168,0.523017
They are slowly restoring this huge fortress one brick at a time.,0.64564514,0.011571071,0.34278375
Well worth the time to see this historic treasure.,0.9718597,0.0035091338,0.024631139
Well worth a few hours here to soak up the atmosphere and get an understanding of the layout.,0.91685027,0.005058989,0.07809071
Some beautifully restored interiors (with much more still to do).,0.9501883,0.007849265,0.041962426
Such a huge site that you can easily escape the crowds.,0.834138,0.012472766,0.1533892
Seems much older than 1800s construction.,0.068775445,0.28498408,0.6462404
Went there on a recommendation and was disappointed all throughout.,0.00787853,0.91193,0.08019137
Had to tell our taxi driver to get off Facebook on the drive.,0.11314162,0.15853825,0.72832006
When we went to the ticket centre we told the lady we wanted a package because we were going to visit a couple of Pagodas the next day.,0.11633721,0.013272747,0.87039
Ya ya she said and proceeded to sell us the day pass only.,0.031538848,0.34334397,0.62511724
We booked an English tour guide and paid only to be told the guide was not available.,0.018347714,0.6436552,0.33799714
We walked through this supposed sacred grounds that was covered in garbage and had parents letting their kids pee up the walls.,0.007561212,0.87452424,0.11791446
If this place was so holy why is it such a dump.,0.011487341,0.8745719,0.11394069
"Visiting the Imperial City is the reason people come to Hue, and it is definitely worth it.",0.95975906,0.0024566327,0.037784275
"From the moat that surrounds the massive citadel, to the various gates and impressive buildings within the sprawling grounds, the imperial city is very impressive.",0.95677125,0.0034057142,0.039823044
We spent 2-3 hours wandering around and learned a lot about the history of Vietnam.,0.6261694,0.0049754535,0.36885518
Highly recommended!,0.9673657,0.008586792,0.02404754
This is well worth a visit.,0.9733167,0.004148649,0.022534678
It's a large area and there is plenty to see.,0.67454696,0.014225899,0.3112271
"Although there was some destruction in the war of independence against the French and again in the Tet Offensive during the American occupation, plenty of buildings survived and others are being rebuilt",0.11361047,0.27843305,0.60795647
history has it.,0.06778129,0.07826558,0.85395306
at least the govt now spent some.money to maintain it.,0.17706059,0.11727664,0.7056628
some parts are already in ruin.,0.011343448,0.8095603,0.17909622
note follow the people you can get through the same entrance as exit.,0.119264215,0.019781977,0.86095375
I guess this is the highlight of everyone’s stay in Hue!,0.87210345,0.0042758933,0.12362069
"It is a very different piece of architecture but I didn’t like the new constructions that were done in the ancient premises like tennis court, cafe etc.",0.012735544,0.7970533,0.19021113
Do take a guided tour if you are short on time!,0.23818623,0.033822563,0.72799116
"We hired an on-site guide for an hour at 150,000vnd.",0.0732682,0.010742781,0.915989
The guide was very useful in helping us understand the site.,0.9370669,0.003983145,0.05894997
Well worth the money.,0.9364096,0.00845465,0.055135738
It was our first time hiring a guide.,0.15671349,0.00928651,0.83400005
I wish we had done it before.,0.14852984,0.4050929,0.44637725
The site is very impressive and large but I preferred the tombs more.,0.9576746,0.0058658714,0.03645951
If you leave by the East gate cross the canal and turn right you will get to the Museum of Antiquities.,0.07755591,0.0076630455,0.91478103
You can get in free on your ticket.,0.30910215,0.0072164875,0.68368137
"What an amazing place this is, and how sad so much of it was destroyed by bad actors on both sides during the Viet Nam War.",0.072150975,0.79577535,0.13207367
This is definitely a must-see if you're in Hue or anywhere close.,0.97323835,0.0034718562,0.023289848
We came from Hoi An (three hours away by car) to see it and wish we could have stayed longer.,0.60162413,0.035636544,0.36273926
There are so many little nooks and crannies to investigate.,0.06973076,0.26077455,0.6694947
"It would be helpful if you brought some kind of map, though, as the signage isn't good, and it's easy to get lost.",0.016856993,0.7779684,0.20517458
"Be sure to cover yourself well - no shorts, no t-shirts, etc., and wear comfortable shoes - you'll be doing a lot of walking!",0.8028586,0.0083145285,0.18882689
"Also, if someone is picking you up after you visit, you might want to make sure they know where the exit is.",0.06352855,0.020355338,0.9161161
It's not the same as the entrance gate.,0.022109084,0.35313264,0.62475824
"Again, get a map!",0.26274732,0.066763505,0.6704892
"I'll review specific buildings and attractions here (e.g., Halls of the Mandarins, Royal Theater, etc.)",0.10137615,0.0073630004,0.89126086
in other entries.,0.07314052,0.038263846,0.8885957
"Wander at you leisure around the Imperial City, a World Heritage Site, or better still take a guided tour as the explanations of everything will be more expansive.",0.6793552,0.0037543504,0.31689045
Highly recommended.,0.9553242,0.010611235,0.034064576
"fair bit of walking, probably best with a guide, not a lot of signage, Interesting history and quite picturesque.",0.9244991,0.0074429642,0.068057925
I was blown away during a three hour wander around the fascinating Imperial Enclosure.,0.9779008,0.0049415776,0.017157635
It's great to see such amazing restoration and preservation.,0.98327696,0.00449323,0.0122298105
A remarkable site.,0.9249455,0.016774893,0.058279663
"The Imperial City is a walled, Royal palace within the citadel of the city of Huế, the former imperial capital of Vietnam.",0.041073885,0.016139297,0.9427868
"There is a vast, 19th-century Citadel surrounded by a moat and thick stone walls.",0.0711757,0.08642977,0.8423946
"It encompasses the Imperial City, with palaces and shrines.",0.10458313,0.006966,0.88845086
The Forbidden Purple City was once the emperor’s home.,0.08943094,0.009144091,0.901425
"Within the Imperial City is the Purple Forbidden City, a term similar to the Forbidden City in Beijing.",0.07561172,0.008474254,0.91591406
It is called the Forbidden City because access to the innermost enclosure was restricted to the imperial family.,0.028247004,0.082651936,0.889101
Very impressive historical architecture for royal families.,0.9558836,0.004011306,0.040105063
"Personally having interest in defensible structure, the three walls were magnificent.",0.91750896,0.013465198,0.06902591
"Over view showed thoughtful urban planning on a grand scale, probably without local permits.",0.41157117,0.04317669,0.54525214
Subtle signs of East meeting West with structural designs.,0.07302079,0.015052799,0.91192645
We needed to get from Hoian to Phong Nha Ke and used the transfer services of VM Travel in Hue.,0.045984644,0.0145698,0.93944556
Not only did Alex drive us safely in a clean car but he stopped off at places of interest along the way.,0.81600213,0.0087066665,0.17529115
It was trouble for him to detour out of the way to the Vinh Moc Tunnels.,0.019215418,0.3282931,0.65249145
I thoroughly recommend this service.,0.974542,0.0051636277,0.02029435
We went on a tour.,0.1768977,0.0064903377,0.8166119
If I could do it again I'd go by myself and take my time to see this beautiful place as you could easily spend at least 2 hours looking around.,0.7728562,0.024366053,0.20277774
Very beautiful.,0.93662435,0.020093238,0.043282364
"Lots to see,different styles of buildings depending on historicsl dates.",0.8432453,0.006204711,0.15054996
Wonderful colonial photographs.Opportunity to dressand be photographed as Emperor or Empress,0.89366794,0.006887327,0.09944472
If you've been to the Forbidden City in Beijing and are expecting something as spectacular you may be disappointed.,0.083981074,0.5533534,0.36266553
"In its day this must have a truly magnificent place but the ravages of war, lack of restoration, and a steady onslaught of tourists have taken their toll.",0.050361596,0.73778653,0.21185178
It is now a ruin badly in need of expensive restoration.,0.0059490474,0.9266825,0.06736842
"Nonetheless the scale of the place is impressive and its place as a well-defended sanctuary, surrounded by walls and a moat, is obvious.",0.9456629,0.0046950565,0.049641967
"If you are at all interested in the history of Vietnam (if not, why are you going?)",0.076205485,0.16926254,0.7545319
the Imperial City is a must.,0.5446272,0.01566721,0.43970558
Because the area is so vast it never seems crowded.,0.58153,0.02788452,0.3905855
But look out for all of the tuk-tuk type vehicles running around with tourists who don't want to walk.,0.041420013,0.39880675,0.55977327
"To fully enjoy the experience we suggest a tour guide, either private or small group, or do some reading and bring a good map in advance.",0.8360606,0.0056263143,0.15831308
"There is a lot of walking and sometimes not much shade, so bring water and something for shade.",0.09316721,0.20871602,0.69811684
"There was a lot of fighting in the Citadel during the '68 Tet
offensive.",0.024275137,0.34645352,0.62927127
The damage is clearly visible.,0.009056495,0.85939676,0.13154674
"We were on a private tour with an expert guide, which made all the difference.",0.82876873,0.009002821,0.16222844
He brought the Imperial City alive for us.,0.87993634,0.0045486134,0.11551508
"We highly recommend at least a half-day, and if you can, use a guide.",0.87841165,0.0066196425,0.11496876
The Imperial City is very much worth a visit.,0.9684713,0.0030973186,0.028431378
But make sure you spend the extra money and get a guide.,0.16486786,0.06831443,0.76681775
They'll explain the history of the city and is importance.,0.11886001,0.014437249,0.86670274
Otherwise there really aren't any markers or anything in the city that explains the history or what the buildings are.,0.01783343,0.40843615,0.57373035
When you get to the ticket station it's easy to ask other groups if they'd like to join you on the guided tour and you can all split the cost as well making it cheaper.,0.41922712,0.007724944,0.57304794
We only came to Hue to visit the citadel and the tombs of the kings.,0.0731436,0.028069876,0.8987866
It’s worth coming here just for this.,0.9125187,0.0078124534,0.07966892
The grounds are so big so it doesn’t feel like that there are many tourists around.,0.06372533,0.2063253,0.72994936
Give yourself a few hours of you want to cover everything.,0.22427818,0.03294866,0.7427731
A very rainy couple of hours was spent in the citadel in Hue.,0.026430031,0.58742595,0.386144
There is enough to see for a few hours if you aren’t getting soaked to the underwear!,0.48580822,0.052094154,0.46209767
"But if you are genuinely interested in the history, then go with a guide or read up beforehand as there is little in the way of information on site.",0.31772426,0.05038665,0.63188905
This immense property was very interesting- we went in the late afternoon and it was so pleasant.,0.98807305,0.0025887166,0.009338188
We hired a guide and that made it much more enjoyable than if we wandered around ourselves.,0.92831975,0.0056581465,0.06602209
What a beautiful place to visit to feel the past.,0.9743876,0.0062651755,0.019347213
There are not many sites left in the world to experience this.,0.038617477,0.7114051,0.24997744
The buildings are crumbling and the colors are fading from the walls.,0.008467149,0.88826025,0.1032726
They stand majestic.,0.9134958,0.012765876,0.073738344
If only they could talk and tell their stories.,0.07559945,0.23602857,0.68837196
The grounds are well maintained.,0.75633824,0.014906072,0.2287557
Well worth a visit.,0.96368873,0.0065220557,0.02978914
So interesting.,0.9474114,0.0055012507,0.047087394
We had a guide with us which helped us to understand what we were seeing.,0.42010465,0.009147711,0.5707476
A few tourists there but not overwhelming.,0.20301701,0.06280697,0.73417604
"Of you are a lover of history and culture, this will be a good place you have to visit in Hue city.",0.95926595,0.002556985,0.038177107
It kept the historic valuable items about Nguyen Dynasty.,0.2116523,0.012989968,0.7753578
"To understand more, you can go with your guide and spend about 2hrs here.",0.10044432,0.009104206,0.8904515
"You need to buy tickets in entrance gate, 150.000 / person.",0.048594084,0.028831935,0.922574
"Especially, there is a place where you can borrow the King's clothes and take photos, I didn't remember exactly, but now it's about 50.000 / person, so it's nice.",0.7660302,0.012506024,0.22146384
I would suggest to see it.,0.6871782,0.011688384,0.30113342
We visited with a small tour group of 12 and are going back today to look around.,0.19497281,0.0046433317,0.8003838
There are beautiful potted flowers everywhere at the Hue historic sites.,0.9728813,0.0039855223,0.023133144
Our guide told us that this is what is done to prepare for the Tet holiday.,0.11617548,0.004650672,0.87917393
One thousand years of Chinese influence is obvious in the design of the buildings and layout of the complex.,0.04286704,0.22882962,0.7283033
Seeing the throne used by all of the Vietnamese emperors made the day.,0.55954945,0.01696264,0.42348793
We enjoyed our visit to Hue although it did rain most of the day which spoiled it a bit.,0.90716803,0.01592055,0.07691142
The city was damaged a lot during the war and so they are still doing major renovations on the main structures.,0.026683884,0.5263307,0.4469854
The building are interesting and have a lot of history well worth a visit on a day spent in Hue,0.97020346,0.0023477566,0.027448786
Brilliant!,0.9572342,0.006715659,0.036050115
Best experience in Vietnam after Halong Bay cruise.,0.97775555,0.0029889783,0.019255407
Not to be missed.,0.79446167,0.036030862,0.16950746
I recommend you book a local tour guide as I did through my hotel once I got a feel for the place and the place got a feel for me.,0.464132,0.013787729,0.52208024
"Long, my guide, was amazing and also gave me some very useful tips on other aspects of my tour.",0.9809109,0.0040358673,0.01505326
"There is much to see at the Citadel so ensure you have sufficient time (3 hours), I would advise getting a guide for the tour as there is little in terms of information boards and its vast nature could see you wandering aimlessly.",0.4426078,0.029709857,0.52768236
The temples and buildings inside are spectacular.,0.9678868,0.00751076,0.024602503
"They are strict on dress code- covered knees and shoulders; in addition, you do have to take your shoes off on at least two occasions.",0.04936407,0.17317568,0.7774603
The citadel is steeped in history which spans a number of centuries.,0.26601905,0.0099513205,0.7240296
It is a must see.,0.9503248,0.007155431,0.0425198
If you are in HUE then you will go here.,0.104421094,0.017334426,0.87824446
Hard to miss.,0.53547454,0.084562585,0.3799629
Well worth the time and admission to go.,0.93620247,0.006814415,0.05698315
Not necessary to have a guide.,0.058571395,0.25408888,0.6873398
It's very interesting once you are in behind the massive walls.,0.8045246,0.010284036,0.18519141
I would suggest two hours is plenty of time to see it.,0.40004396,0.03132205,0.568634
This is a good place to visit but the less information visualize there so it's difficult to get to real details.,0.081358016,0.52223724,0.3964047
"Be aware when you buy tickets as I herd some bad stories
It's a huge area, at least you need to allocate minimum 3hours for this.",0.020695012,0.6675152,0.31178978
Get ready walk a lot.,0.22967476,0.022420255,0.74790496
Spent a good half day walking around the citadel on a terrible rainy day!,0.10018518,0.71216655,0.18764833
"If I’m honest I was expecting more , parts are in need of major renovation but it’s still worth viewing if you are in Hue.",0.25880113,0.22937316,0.51182574
".....this place is about as close as you're ever going to get to the set of ""Hero"" (2002 Jet Li film about an attempt to assassinate the king).",0.119841926,0.35255966,0.52759844
Couldn't stop thinking about it as we walked round.,0.48263636,0.076562054,0.44080156
The City is vast and these days the main gate is surmounted by an enormous red-with-gold-star Vietnamese flag.,0.4553302,0.015681576,0.52898824
I found it easy to become disoriented and was glad of our guide Vinh who navigated the place perfectly and explained much of the history.,0.7940293,0.018305507,0.18766518
This is a must visit attraction when coming to Vietnam in order to know more about the country's history.,0.96208715,0.0022834558,0.035629414
The city is quite large and I was surprised that I got lost a few times.,0.27157503,0.22608104,0.5023439
"I admit that I was a little ignorant prior to arriving at the Imperial City, not knowing that large portions of it were destroyed during the Vietnam War.",0.010585092,0.76968944,0.21972547
Those expecting a city of the magnitude of the one in Beijing might be a little disappointed for this reason.,0.015696526,0.7239028,0.26040068
"Our tour guide gave us free reign to walk around the city ourselves with no explanation, and I would definitely suggest having a guide for explanation and interpretation.",0.6294688,0.013926419,0.35660478
What an impressive place.,0.9456188,0.013546604,0.040834624
Something new to see around every corner.,0.8070889,0.00944345,0.18346764
This place is huge.,0.9230002,0.012863486,0.064136304
Not really as old as it looks but stunning.,0.8768172,0.0203756,0.102807105
Well maintained.,0.5711564,0.03450365,0.39433998
"When purchasing our ticket we bought a 3 entry ticket for 280,000vnd each but didn't understand that the other 2 tombs, Minh Mang and the Khai Dinh tombs are 10 and 8 kilometres from the Citadel itself.",0.019157343,0.2884391,0.6924036
"It cost us 400,000 vnd return to Hue in a taxi!",0.014804464,0.7878843,0.19731122
If you only want to see the Citadel just buy the basic ticket.,0.09127714,0.11107137,0.79765147
Our fault as we should have put in some research.,0.009904221,0.78475106,0.20534475
This is a fairly large palace compound and an excellent place to learn recent Vietnam history.,0.9614215,0.0025043702,0.036074143
Lot's of interesting information.,0.97275263,0.003676569,0.023570795
The last emperor of Vietnam is the same as the last emperor of China - becoming a puppet of colonial power.,0.010685837,0.65729237,0.33202174
"We have travelled many palaces in Asia, and This palace is particularly unique because they have managed to keep it about 80% authentic structures.",0.87422925,0.006301156,0.11946962
It is beautiful and it’s worth it to hire a guide at the front because each area has a different meaning and purpose.,0.9645493,0.0053478396,0.030102817
"The guide service is 150,000 vd for about 45min-1 hr.",0.08144168,0.012015899,0.9065424
Make sure to wear respectful clothing.,0.41378352,0.06029769,0.5259188
"The entrance fee is 150,000 vd/ person (foreigners).",0.045346096,0.039850637,0.91480327
Very good especially with the photos telling a much more detailed story.,0.9793626,0.0027107277,0.01792668
"Recommended for all
Remember to buy the ticket for the Antiquities Museum at the same time because that Museum does not have ticket sellers",0.12124007,0.07297241,0.80578756
"Our travel agency, Tonkin recommended it and boy were they right!",0.9314998,0.005261867,0.06323833
It's like waking back in time and seeing a magnificent palace with an incredible history.,0.97077775,0.0037389945,0.025483249
We even took our photos dressed like kings which was totally fun.,0.9736816,0.0031161923,0.023202166
Don't miss it!,0.96909976,0.0043802303,0.026519995
Most of the imperial city in Hue was destroyed but after intensive restoration work we can understand what was originally there.,0.03648548,0.35563684,0.6078777
"The Imperial city is very impressive and in order to visit all important sites, a visitor will need several hours.",0.95223546,0.0033044107,0.04446014
"Beautiful restoration going on, very peaceful and tranquil setting, you shouldn't come to Hue without visiting here",0.9707826,0.0057012946,0.023516184
The grounds of it are protected by fortified ramparts 2 kilometres by 2 kilometres and ringed by a moat.,0.053894874,0.036139283,0.9099658
The water in the moat is routed from Perfume River through a series of sluice gates.,0.0184042,0.047936548,0.9336593
"This is a great sprawling complex of temples, pavilions, moats, walls, gates, shops, museums, and galleries, featuring art and costumes from various periods of Vietnamese history.",0.8259209,0.004657012,0.1694221
"The citadel was badly knocked about during fighting between the French and the Viet Minh in the year 1947, and again in the year 1968 during the TET Offensive, when it was shelled by the Viet Cong and then bombed by the Americans.",0.0059328037,0.8137074,0.18035978
"As a result, some areas are now only empty fields, bits of walls, and an explanatory plaque.",0.009691895,0.6983823,0.29192582
"Other buildings are intact, though, and a few are in sparkling condition.",0.5687939,0.0120970495,0.41910908
"If you’re in Hue, this is a must see.",0.95705795,0.0046287887,0.038313296
Give yourselves a good few hours as it’s a big site and there’s loads to see.,0.8303897,0.0050106677,0.16459967
I particularly enjoyed the garden with all the bonsai trees.,0.98328674,0.0032027725,0.013510429
Very peaceful,0.9018113,0.026610563,0.07157817
I would consider a must visit place.,0.944172,0.0067693624,0.04905864
Just a quick short 10min drive through the city and you are there.,0.28007764,0.0100894375,0.7098329
"It is much same thing when you are in there, but it's the viaicalmsize of the place when you start to walk around and all the history to take in makes it a well worth stop.",0.70960486,0.01052948,0.27986562
Dress code is required.,0.06353598,0.028599935,0.9078641
Pants below the knee and shoulders must be covered on both males and females..,0.07287296,0.05835075,0.8687763
"Totally with the 150,000 VND to get in.",0.23228708,0.06295659,0.7047563
Beautiful old city full of long corridors and green space.,0.97881144,0.004101368,0.017087134
A photographers' paradise!,0.8981905,0.007158148,0.094651386
The price seemed expensive in comparison to what we heard from tourists would only cost $2.,0.028821627,0.39830598,0.5728724
"However, after paying a lot more than this we spent at least four hours wandering the ancient grounds.",0.2639415,0.0307664,0.7052921
Don’t go when it is raining as it is mostly an external site to inspect!,0.042706978,0.49272108,0.464572
"Great history here, take lots of water.",0.9727647,0.0045346823,0.022700634
The citadel has lots of history but it left us wanting more.,0.8599683,0.011616543,0.12841517
I would hit other sites over this one.,0.049936675,0.4739847,0.47607872
"If it’s a nice day, you can get nice pictures",0.92413104,0.008182398,0.06768663
"I have visited there more than 3 times, the first time when I have graduated high school and went there with my Dad.",0.5381805,0.0038657729,0.4579538
The 2nd time was the University graduation intern.,0.051270906,0.01298672,0.93574244
"And then lastly when I had a business trip there with Hue City Tour Full day, combine to visit 3 Tombs and The Citadel as well as Thien Mu Pagoda.",0.14959991,0.0063675535,0.8440325
"Each time to visit there to bring me the different feelings, more understandable, more proud of Vietnam.",0.961126,0.0050209467,0.033852976
Even most of the palace was destroyed during Vietnam War but I could imagine how the beautiful which they are during the monarchy.,0.13070759,0.48560423,0.38368818
"I would love to be there again, not only for business but also for my personal trip.",0.97569054,0.0022911362,0.022018328
"The imperial city cost 150,000 dong to get in per person.",0.046657648,0.22716197,0.7261803
As one of the most expensive tourist attractions I’ve been to in Vietnam (I’ve been here three weeks) I expected this to take the cake.,0.45865375,0.13569537,0.40565082
"However, the imperial city leaves much to be desired.",0.033285126,0.39156562,0.57514924
It’s lack luster and in pretty bad condition.,0.008018723,0.92506564,0.06691564
Nothing is well marked nor are there any prompts as to what you’re looking at.,0.009859395,0.81752896,0.17261158
Not worth the price.,0.03718575,0.68396634,0.2788479
On a beautiful day could be a nice place for a stroll but an expensive one at that.,0.46440536,0.17054899,0.36504564
This is unquestionably the number 1 attraction in Hue.,0.9582736,0.0028188832,0.03890757
"Even if far too many buildings have disappeared (victims of war), the ones remaining give us a good idea of the past magnificence of this Imperial City.",0.2149988,0.0981718,0.6868294
The place is quite extended so make sure you dedicate enough time to wander around the park and enjoy the whole of it.,0.92432064,0.002736397,0.072943024
"Do not hesitate to escape the crowd and lose yourself in some unexplored corners, with original buildings...",0.5420853,0.014705692,0.44320902
Easy to navigate around.,0.7395756,0.02064358,0.23978078
Great to see what is left after most of it was destroyed in the American war.,0.5273563,0.15227076,0.3203729
Nice history and plenty of signs are in English.,0.9458377,0.0068330765,0.047329262
You can easily spend a day here looking in all of the buildings and annexes.,0.35499993,0.038111445,0.6068886
"At first glance the site seems small, but make sure you go through every door and pathway.",0.21357487,0.03660523,0.74981993
It is actually huge and well worth it.,0.9814906,0.0039051129,0.01460423
We spent three hours wandering around.,0.12667328,0.01702147,0.8563053
There are also hidden coffee shops.,0.08138674,0.05895786,0.85965544
"The citadel is very reminiscent of the Forbidden City in Beijing, but smaller.",0.1661566,0.01924281,0.8146005
Some of the buildings are under renovation so were not open.,0.013001804,0.50376487,0.48323327
"However, we got a got idea of the life style of the royal family.",0.088439584,0.03905466,0.8725058
A must visit in a Hue.,0.8938394,0.01164398,0.09451654
"Interesting to learn about the different dynasties, see how people lived, and learn about the different impacts of the various kings.",0.5385542,0.012410511,0.44903535
Really big and beautifull!,0.9806127,0.00451552,0.01487185
Too much to see!,0.41636118,0.18726923,0.3963696
The price is worth it.,0.67468446,0.016003545,0.30931193
You need a phew hours to see everything.,0.23747258,0.10714804,0.6553794
This is the old royal capital.,0.069297455,0.0285839,0.9021186
It is quite huge and needs lots of time to explore.,0.6671229,0.015971527,0.3169056
There are electric carts to rent to take you around if you can't walk a lot.,0.20062634,0.047064245,0.7523094
